"DateTime","Unique buyers"
"2022-06-06 00:00:00",276
"2022-06-07 00:00:00",85
"2022-06-08 00:00:00",471
"2022-06-09 00:00:00",85
"2022-06-10 00:00:00",124
"2022-06-11 00:00:00",82
"2022-06-12 00:00:00",80
"2022-06-13 00:00:00",375
"2022-06-14 00:00:00",100
"2022-06-15 00:00:00",118
"2022-06-16 00:00:00",100
"2022-06-17 00:00:00",159
"2022-06-18 00:00:00",110
"2022-06-19 00:00:00",149
"2022-06-20 00:00:00",272
"2022-06-21 00:00:00",199
"2022-06-22 00:00:00",181
"2022-06-23 00:00:00",192
"2022-06-24 00:00:00",178
"2022-06-25 00:00:00",131
"2022-06-26 00:00:00",107
"2022-06-27 00:00:00",346
"2022-06-28 00:00:00",198
"2022-06-29 00:00:00",522
"2022-06-30 00:00:00",186
"2022-07-01 00:00:00",345
"2022-07-02 00:00:00",149
"2022-07-03 00:00:00",153
"2022-07-04 00:00:00",178
"2022-07-05 00:00:00",166
"2022-07-06 00:00:00",356
"2022-07-07 00:00:00",403
"2022-07-08 00:00:00",690
"2022-07-09 00:00:00",403
"2022-07-10 00:00:00",265
"2022-07-11 00:00:00",888
"2022-07-12 00:00:00",273
"2022-07-13 00:00:00",1296
"2022-07-14 00:00:00",355
"2022-07-15 00:00:00",321
"2022-07-16 00:00:00",228
"2022-07-17 00:00:00",181
"2022-07-18 00:00:00",606
"2022-07-19 00:00:00",186
"2022-07-20 00:00:00",329
"2022-07-21 00:00:00",138
"2022-07-22 00:00:00",553
"2022-07-23 00:00:00",209
"2022-07-24 00:00:00",85
"2022-07-25 00:00:00",381
"2022-07-26 00:00:00",97
"2022-07-27 00:00:00",608
"2022-07-28 00:00:00",136
"2022-07-29 00:00:00",164
"2022-07-30 00:00:00",95
"2022-07-31 00:00:00",79
"2022-08-01 00:00:00",571
"2022-08-02 00:00:00",197
"2022-08-03 00:00:00",237
"2022-08-04 00:00:00",109
"2022-08-05 00:00:00",429
"2022-08-06 00:00:00",106
"2022-08-07 00:00:00",83
"2022-08-08 00:00:00",359
"2022-08-09 00:00:00",116
"2022-08-10 00:00:00",640
"2022-08-11 00:00:00",158
"2022-08-12 00:00:00",327
"2022-08-13 00:00:00",106
"2022-08-14 00:00:00",90
"2022-08-15 00:00:00",128
"2022-08-16 00:00:00",87
"2022-08-17 00:00:00",505
"2022-08-18 00:00:00",77
"2022-08-19 00:00:00",101
"2022-08-20 00:00:00",91
"2022-08-21 00:00:00",89
"2022-08-22 00:00:00",355
"2022-08-23 00:00:00",141
"2022-08-24 00:00:00",440
"2022-08-25 00:00:00",145
"2022-08-26 00:00:00",296
"2022-08-27 00:00:00",131
"2022-08-28 00:00:00",104
"2022-08-29 00:00:00",108
"2022-08-30 00:00:00",84
"2022-08-31 00:00:00",104
"2022-09-01 00:00:00",114
"2022-09-02 00:00:00",128
"2022-09-03 00:00:00",66
"2022-09-04 00:00:00",50
"2022-09-05 00:00:00",62
"2022-09-06 00:00:00",56
"2022-09-07 00:00:00",464
"2022-09-08 00:00:00",152
"2022-09-09 00:00:00",234
"2022-09-10 00:00:00",95
"2022-09-11 00:00:00",69
"2022-09-12 00:00:00",519
"2022-09-13 00:00:00",98
"2022-09-14 00:00:00",68
"2022-09-15 00:00:00",71
"2022-09-16 00:00:00",239
"2022-09-17 00:00:00",120
"2022-09-18 00:00:00",62
"2022-09-19 00:00:00",292
"2022-09-20 00:00:00",96
"2022-09-21 00:00:00",459
"2022-09-22 00:00:00",98
"2022-09-23 00:00:00",209
"2022-09-24 00:00:00",71
"2022-09-25 00:00:00",60
"2022-09-26 00:00:00",144
"2022-09-27 00:00:00",108
"2022-09-28 00:00:00",242
"2022-09-29 00:00:00",105
"2022-09-30 00:00:00",254
"2022-10-01 00:00:00",58
"2022-10-02 00:00:00",81
"2022-10-03 00:00:00",201
"2022-10-04 00:00:00",100
"2022-10-05 00:00:00",570
"2022-10-06 00:00:00",198
"2022-10-07 00:00:00",458
"2022-10-08 00:00:00",109
"2022-10-09 00:00:00",63
"2022-10-10 00:00:00",101
"2022-10-11 00:00:00",112
"2022-10-12 00:00:00",439
"2022-10-13 00:00:00",114
"2022-10-14 00:00:00",382
"2022-10-15 00:00:00",96
"2022-10-16 00:00:00",64
