"DateTime","Average USD","Active market wallets"
"2021-12-15 00:00:00",3099.14,538
"2021-12-16 00:00:00",2311.39,615
"2021-12-17 00:00:00",2070.7,792
"2021-12-18 00:00:00",2596.22,512
"2021-12-19 00:00:00",4110.25,375
"2021-12-20 00:00:00",3839.41,1716
"2021-12-21 00:00:00",2010.84,692
"2021-12-22 00:00:00",3443.05,606
"2021-12-23 00:00:00",3959.48,514
"2021-12-24 00:00:00",2596.62,533
"2021-12-25 00:00:00",6506.79,500
"2021-12-26 00:00:00",1349.81,1402
"2021-12-27 00:00:00",4779.66,1400
"2021-12-28 00:00:00",2169.45,531
"2021-12-29 00:00:00",5610.92,505
"2021-12-30 00:00:00",2433.16,450
"2021-12-31 00:00:00",3058.58,622
"2022-01-01 00:00:00",4100.7,659
"2022-01-02 00:00:00",7735.68,293
"2022-01-03 00:00:00",3208.74,296
"2022-01-04 00:00:00",4509.15,191
"2022-01-05 00:00:00",4841.41,202
"2022-01-06 00:00:00",7729.01,263
"2022-01-07 00:00:00",3068.07,470
"2022-01-08 00:00:00",6967.19,239
"2022-01-09 00:00:00",7871.56,171
"2022-01-10 00:00:00",8640.28,1383
"2022-01-11 00:00:00",2241.8,709
"2022-01-12 00:00:00",6597.49,376
"2022-01-13 00:00:00",6106.68,304
"2022-01-14 00:00:00",2450.12,226
"2022-01-15 00:00:00",3449.46,247
"2022-01-16 00:00:00",2637.34,252
"2022-01-17 00:00:00",2621.14,249
"2022-01-18 00:00:00",4591.05,273
"2022-01-19 00:00:00",3080.37,198
"2022-01-20 00:00:00",2429.32,249
"2022-01-21 00:00:00",2894.39,236
"2022-01-22 00:00:00",3575.46,173
"2022-01-23 00:00:00",1651.38,140
"2022-01-24 00:00:00",2073.19,922
"2022-01-25 00:00:00",2039.39,491
"2022-01-26 00:00:00",3221.27,390
"2022-01-27 00:00:00",3503,325
"2022-01-28 00:00:00",4171.98,706
"2022-01-29 00:00:00",2478.01,580
"2022-01-30 00:00:00",3703.04,288
"2022-01-31 00:00:00",4216,1122
"2022-02-01 00:00:00",4550.72,829
"2022-02-02 00:00:00",4137.81,400
"2022-02-03 00:00:00",915.61,2016
"2022-02-04 00:00:00",2860.66,484
"2022-02-05 00:00:00",7187.42,320
"2022-02-06 00:00:00",5166.54,275
"2022-02-07 00:00:00",863.75,897
"2022-02-08 00:00:00",2739.57,482
"2022-02-09 00:00:00",6080.22,312
"2022-02-10 00:00:00",4620.3,466
"2022-02-11 00:00:00",2395.72,516
"2022-02-12 00:00:00",5530.52,359
"2022-02-13 00:00:00",7686.05,231
"2022-02-14 00:00:00",1223.68,986
"2022-02-15 00:00:00",2421.65,385
"2022-02-16 00:00:00",2805.16,246
"2022-02-17 00:00:00",2852.42,220
"2022-02-18 00:00:00",4602.51,214
"2022-02-19 00:00:00",4243.31,124
"2022-02-20 00:00:00",3711.14,101
"2022-02-21 00:00:00",4910.07,90
"2022-02-22 00:00:00",1097.87,768
