"DateTime","Number of sales","Sales USD"
"2022-04-23 00:00:00",230,524624.97
"2022-04-24 00:00:00",129,391116.95
"2022-04-25 00:00:00",172,610231.4
"2022-04-26 00:00:00",161,686540.6
"2022-04-27 00:00:00",216,503095.36
"2022-04-28 00:00:00",154,417797.82
"2022-04-29 00:00:00",1273,4054991.98
"2022-04-30 00:00:00",233,950294.63
"2022-05-01 00:00:00",265,1644268.91
"2022-05-02 00:00:00",220,1486994.98
"2022-05-03 00:00:00",307,1150327.53
"2022-05-04 00:00:00",276,511842.21
"2022-05-05 00:00:00",320,2409217.83
"2022-05-06 00:00:00",908,4391396.96
"2022-05-07 00:00:00",2486,8920508.06
"2022-05-08 00:00:00",434,913781.8
"2022-05-09 00:00:00",257,875204.32
"2022-05-10 00:00:00",290,1217101.76
"2022-05-11 00:00:00",102,893143.59
"2022-05-12 00:00:00",127,1078450.67
"2022-05-13 00:00:00",263,508452.75
"2022-05-14 00:00:00",182,694603.11
"2022-05-15 00:00:00",179,382347.14
"2022-05-16 00:00:00",344,760271.82
"2022-05-17 00:00:00",181,610451.55
"2022-05-18 00:00:00",234,453675.03
"2022-05-19 00:00:00",450,545410.41
"2022-05-20 00:00:00",666,385434.87
"2022-05-21 00:00:00",224,272068.53
"2022-05-22 00:00:00",162,392479.83
"2022-05-23 00:00:00",722,666837.17
"2022-05-24 00:00:00",141,290982.95
"2022-05-25 00:00:00",967,1680085.13
"2022-05-26 00:00:00",182,355638.76
"2022-05-27 00:00:00",161,469990.21
"2022-05-28 00:00:00",394,206381.54
"2022-05-29 00:00:00",146,135225.46
"2022-05-30 00:00:00",168,289437.31
"2022-05-31 00:00:00",179,173850.12
"2022-06-01 00:00:00",429,224096.48
"2022-06-02 00:00:00",142,196248.46
"2022-06-03 00:00:00",562,330554.51
"2022-06-04 00:00:00",156,159715.51
"2022-06-05 00:00:00",134,82209.89
"2022-06-06 00:00:00",377,330557.64
"2022-06-07 00:00:00",141,258365.89
"2022-06-08 00:00:00",787,781065.87
"2022-06-09 00:00:00",132,144869.05
"2022-06-10 00:00:00",208,1004064.77
"2022-06-11 00:00:00",132,304306.41
"2022-06-12 00:00:00",125,231965.7
"2022-06-13 00:00:00",833,1687942.63
