"DateTime","Number of sales","Sales USD"
"2021-12-15 00:00:00",16,4552965.44
"2021-12-16 00:00:00",15,4162835.04
"2021-12-17 00:00:00",15,5791735.08
"2021-12-18 00:00:00",3,941350.8
"2021-12-19 00:00:00",6,2029554.94
"2021-12-20 00:00:00",7,2754251.47
"2021-12-21 00:00:00",21,6110969.4
"2021-12-22 00:00:00",27,6775439.52
"2021-12-23 00:00:00",16,3891821.09
"2021-12-24 00:00:00",64,20777412.92
"2021-12-25 00:00:00",15,5024131.84
"2021-12-26 00:00:00",16,4719002.5
"2021-12-27 00:00:00",7,2251248.79
"2021-12-28 00:00:00",11,2596646.38
"2021-12-29 00:00:00",12,3727967.39
"2021-12-30 00:00:00",24,7102120
"2021-12-31 00:00:00",25,8056462.11
"2022-01-01 00:00:00",24,5820399.38
"2022-01-02 00:00:00",7,2796870.12
"2022-01-03 00:00:00",8,2729839.65
"2022-01-04 00:00:00",3,771636.23
"2022-01-05 00:00:00",7,1696743.3
"2022-01-06 00:00:00",60,6504078.62
"2022-01-07 00:00:00",11,2354020.36
"2022-01-08 00:00:00",14,3286629.54
"2022-01-09 00:00:00",4,938322.28
"2022-01-10 00:00:00",13,2597147.44
"2022-01-11 00:00:00",8,1856702.19
"2022-01-12 00:00:00",7,1598723.97
"2022-01-13 00:00:00",2,425429.05
"2022-01-14 00:00:00",10,2075810.3
"2022-01-15 00:00:00",10,2176849.04
"2022-01-16 00:00:00",4,883789.58
"2022-01-17 00:00:00",11,2562204.45
"2022-01-18 00:00:00",11,2661888.88
"2022-01-19 00:00:00",15,3075974.25
"2022-01-20 00:00:00",21,4771089.06
"2022-01-21 00:00:00",15,3329388.22
"2022-01-22 00:00:00",24,4250822.61
"2022-01-23 00:00:00",27,5275326.17
"2022-01-24 00:00:00",15,2839381.87
"2022-01-25 00:00:00",107,20801984.66
"2022-01-26 00:00:00",33,9245631.15
"2022-01-27 00:00:00",12,2603729.99
"2022-01-28 00:00:00",45,9931407.27
"2022-01-29 00:00:00",15,4008445.03
"2022-01-30 00:00:00",10,5501139.54
"2022-01-31 00:00:00",23,6266374.17
"2022-02-01 00:00:00",15,3690718.16
"2022-02-02 00:00:00",24,6225070.53
"2022-02-03 00:00:00",15,2855633.03
"2022-02-04 00:00:00",59,2670952.08
"2022-02-05 00:00:00",10,2272058.51
"2022-02-06 00:00:00",7,1703167.41
"2022-02-07 00:00:00",14,3503693.03
"2022-02-08 00:00:00",10,2586432.29
"2022-02-09 00:00:00",14,11149943.47
"2022-02-10 00:00:00",7,1401614.2
"2022-02-11 00:00:00",10,2749180.47
"2022-02-12 00:00:00",13,26616063.11
"2022-02-13 00:00:00",23,5429469.63
"2022-02-14 00:00:00",4,1084083.72
"2022-02-15 00:00:00",6,1357658.26
