"DateTime","Average USD","Active market wallets"
"2021-12-15 00:00:00",284560.34,24
"2021-12-16 00:00:00",277522.34,22
"2021-12-17 00:00:00",386115.67,26
"2021-12-18 00:00:00",313783.6,6
"2021-12-19 00:00:00",338259.16,11
"2021-12-20 00:00:00",393464.5,12
"2021-12-21 00:00:00",290998.54,31
"2021-12-22 00:00:00",250942.2,41
"2021-12-23 00:00:00",243238.82,30
"2021-12-24 00:00:00",324647.08,81
"2021-12-25 00:00:00",334942.12,27
"2021-12-26 00:00:00",294937.66,22
"2021-12-27 00:00:00",321606.97,12
"2021-12-28 00:00:00",236058.76,21
"2021-12-29 00:00:00",310663.95,19
"2021-12-30 00:00:00",295921.67,33
"2021-12-31 00:00:00",322258.48,35
"2022-01-01 00:00:00",242516.64,31
"2022-01-02 00:00:00",399552.87,13
"2022-01-03 00:00:00",341229.96,14
"2022-01-04 00:00:00",257212.08,6
"2022-01-05 00:00:00",242391.9,13
"2022-01-06 00:00:00",108401.31,26
"2022-01-07 00:00:00",214001.85,19
"2022-01-08 00:00:00",234759.25,20
"2022-01-09 00:00:00",234580.57,6
"2022-01-10 00:00:00",199780.57,23
"2022-01-11 00:00:00",232087.77,15
"2022-01-12 00:00:00",228389.14,11
"2022-01-13 00:00:00",212714.53,4
"2022-01-14 00:00:00",207581.03,17
"2022-01-15 00:00:00",217684.9,18
"2022-01-16 00:00:00",220947.39,8
"2022-01-17 00:00:00",232927.68,18
"2022-01-18 00:00:00",241989.9,18
"2022-01-19 00:00:00",205064.95,23
"2022-01-20 00:00:00",227194.72,34
"2022-01-21 00:00:00",221959.21,20
"2022-01-22 00:00:00",177117.61,37
"2022-01-23 00:00:00",195382.45,39
"2022-01-24 00:00:00",189292.12,27
"2022-01-25 00:00:00",194411.07,113
"2022-01-26 00:00:00",280170.64,45
"2022-01-27 00:00:00",216977.5,22
"2022-01-28 00:00:00",220697.94,53
"2022-01-29 00:00:00",267229.67,23
"2022-01-30 00:00:00",550113.95,18
"2022-01-31 00:00:00",272451.05,35
"2022-02-01 00:00:00",246047.88,21
"2022-02-02 00:00:00",259377.94,32
"2022-02-03 00:00:00",190375.54,27
"2022-02-04 00:00:00",45270.37,22
"2022-02-05 00:00:00",227205.85,15
"2022-02-06 00:00:00",243309.63,12
"2022-02-07 00:00:00",250263.79,24
"2022-02-08 00:00:00",258643.23,16
"2022-02-09 00:00:00",796424.53,21
"2022-02-10 00:00:00",200230.6,10
"2022-02-11 00:00:00",274918.05,18
"2022-02-12 00:00:00",2047389.47,23
"2022-02-13 00:00:00",236063.9,32
"2022-02-14 00:00:00",271020.93,7
"2022-02-15 00:00:00",226276.38,12
"2022-02-16 00:00:00",192605,6
"2022-02-17 00:00:00",213519.95,10
"2022-02-18 00:00:00",200817.79,10
"2022-02-19 00:00:00",248525.75,8
"2022-02-20 00:00:00",197150.05,14
"2022-02-21 00:00:00",230035.53,10
"2022-02-22 00:00:00",231016.89,9
"2022-02-23 00:00:00",93544.77,16
"2022-02-24 00:00:00",158503.46,23
"2022-02-25 00:00:00",198061.41,15
"2022-02-26 00:00:00",106964.24,15
"2022-02-27 00:00:00",154423.16,24
"2022-02-28 00:00:00",215549.85,17
"2022-03-01 00:00:00",210529.32,10
"2022-03-02 00:00:00",207719.96,10
"2022-03-03 00:00:00",216326.29,15
"2022-03-04 00:00:00",177399.22,19
"2022-03-05 00:00:00",180998.26,4
"2022-03-06 00:00:00",178379.85,8
"2022-03-07 00:00:00",132985.24,7
"2022-03-08 00:00:00",136282.86,12
"2022-03-09 00:00:00",181111.3,27
"2022-03-10 00:00:00",137276.85,12
"2022-03-11 00:00:00",198239.57,85
"2022-03-12 00:00:00",227762.37,71
"2022-03-13 00:00:00",194558.19,13
"2022-03-14 00:00:00",202420.28,14
"2022-03-15 00:00:00",204767.92,6
"2022-03-16 00:00:00",195215.96,16
"2022-03-17 00:00:00",201668.21,25
"2022-03-18 00:00:00",212672.95,46
"2022-03-19 00:00:00",232653.38,38
"2022-03-20 00:00:00",216341.1,20
"2022-03-21 00:00:00",187198.36,27
"2022-03-22 00:00:00",239656.88,13
"2022-03-23 00:00:00",66644.02,18
"2022-03-24 00:00:00",192845.92,22
"2022-03-25 00:00:00",208925.22,11
"2022-03-26 00:00:00",156646.28,15
"2022-03-27 00:00:00",192256.55,13
"2022-03-28 00:00:00",86213.39,24
"2022-03-29 00:00:00",318855.71,6
"2022-03-30 00:00:00",103581.94,24
"2022-03-31 00:00:00",102189.42,14
"2022-04-01 00:00:00",112847.71,10
"2022-04-02 00:00:00",166786.14,30
"2022-04-03 00:00:00",342149.37,14
"2022-04-04 00:00:00",92696.89,26
"2022-04-05 00:00:00",231542.14,15
"2022-04-06 00:00:00",114371.51,16
"2022-04-07 00:00:00",167505.3,12
"2022-04-08 00:00:00",181158.36,8
"2022-04-09 00:00:00",161639.16,10
"2022-04-10 00:00:00",382213.3,6
"2022-04-11 00:00:00",199292.08,15
"2022-04-12 00:00:00",185894.5,20
"2022-04-13 00:00:00",377667.06,31
"2022-04-14 00:00:00",206631.19,20
"2022-04-15 00:00:00",244141.42,14
"2022-04-16 00:00:00",207349.48,12
"2022-04-17 00:00:00",175585.41,14
"2022-04-18 00:00:00",131780.57,15
"2022-04-19 00:00:00",209543.73,10
"2022-04-20 00:00:00",226009.71,26
"2022-04-21 00:00:00",179826.53,25
"2022-04-22 00:00:00",205001.98,31
"2022-04-23 00:00:00",229139.18,18
"2022-04-24 00:00:00",140804.64,17
"2022-04-25 00:00:00",104021.05,32
"2022-04-26 00:00:00",166196.59,24
"2022-04-27 00:00:00",187118.03,16
"2022-04-28 00:00:00",176223.44,26
"2022-04-29 00:00:00",121412.97,25
"2022-04-30 00:00:00",120515.83,19
"2022-05-01 00:00:00",189279.85,10
"2022-05-02 00:00:00",208402.45,16
"2022-05-03 00:00:00",97888.62,20
"2022-05-04 00:00:00",247798.86,12
"2022-05-05 00:00:00",145252.72,8
"2022-05-06 00:00:00",86514.85,10
"2022-05-07 00:00:00",128969.73,8
"2022-05-08 00:00:00",97579.24,16
"2022-05-09 00:00:00",135767.32,23
"2022-05-10 00:00:00",92715.66,21
"2022-05-11 00:00:00",90401.68,23
"2022-05-12 00:00:00",100096.85,37
"2022-05-13 00:00:00",86833.5,30
"2022-05-14 00:00:00",169814.32,10
"2022-05-15 00:00:00",76831.54,42
"2022-05-16 00:00:00",126328.84,17
"2022-05-17 00:00:00",91739.76,12
"2022-05-18 00:00:00",105581.27,13
"2022-05-19 00:00:00",142217.04,14
"2022-05-20 00:00:00",43318.26,14
"2022-05-21 00:00:00",121678.12,4
"2022-05-22 00:00:00",115552.84,6
"2022-05-23 00:00:00",162422.91,22
"2022-05-24 00:00:00",101696.23,8
"2022-05-25 00:00:00",100782.98,6
"2022-05-26 00:00:00",79052.98,26
"2022-05-27 00:00:00",89954.7,29
"2022-05-28 00:00:00",109565.02,8
"2022-05-29 00:00:00",61469.11,4
"2022-05-30 00:00:00",72461.29,19
"2022-05-31 00:00:00",85094.51,16
"2022-06-01 00:00:00",87835.11,15
"2022-06-02 00:00:00",72447.35,14
"2022-06-03 00:00:00",62423.8,8
"2022-06-04 00:00:00",95299.62,6
"2022-06-05 00:00:00",23105.01,9
"2022-06-06 00:00:00",69536.86,8
"2022-06-07 00:00:00",104655.23,11
"2022-06-08 00:00:00",94335.61,10
"2022-06-09 00:00:00",89384.36,20
"2022-06-10 00:00:00",87583.69,20
"2022-06-11 00:00:00",85138.63,12
"2022-06-12 00:00:00",70207.83,26
"2022-06-13 00:00:00",71689.46,33
"2022-06-14 00:00:00",63723.95,47
"2022-06-15 00:00:00",62407.66,30
"2022-06-16 00:00:00",57894.05,25
"2022-06-17 00:00:00",60543,30
"2022-06-18 00:00:00",68178.54,115
"2022-06-19 00:00:00",86664.37,121
"2022-06-20 00:00:00",85095.05,57
"2022-06-21 00:00:00",94774.47,26
"2022-06-22 00:00:00",201098.04,12
"2022-06-23 00:00:00",82133.96,17
"2022-06-24 00:00:00",81764.09,21
"2022-06-25 00:00:00",96196,22
"2022-06-26 00:00:00",87867.55,35
"2022-06-27 00:00:00",101204.67,9
"2022-06-28 00:00:00",85328.49,21
"2022-06-29 00:00:00",131901.65,12
"2022-06-30 00:00:00",74512.61,10
"2022-07-01 00:00:00",71383.65,14
"2022-07-02 00:00:00",59644.4,14
"2022-07-03 00:00:00",28259.86,17
"2022-07-04 00:00:00",31444.78,11
"2022-07-05 00:00:00",84037.4,10
"2022-07-06 00:00:00",106589.33,8
"2022-07-07 00:00:00",88664.44,10
"2022-07-08 00:00:00",89401.5,23
"2022-07-09 00:00:00",110599.87,72
"2022-07-10 00:00:00",103240.72,33
"2022-07-11 00:00:00",99697.95,20
"2022-07-12 00:00:00",100626.71,32
"2022-07-13 00:00:00",78634.14,42
"2022-07-14 00:00:00",83751.96,34
"2022-07-15 00:00:00",219448.16,54
"2022-07-16 00:00:00",125122.93,50
"2022-07-17 00:00:00",141562.19,60
"2022-07-18 00:00:00",133317.11,29
"2022-07-19 00:00:00",129037.7,15
"2022-07-20 00:00:00",129690.23,20
"2022-07-21 00:00:00",96743.95,13
"2022-07-22 00:00:00",93439.87,11
"2022-07-23 00:00:00",136559.08,6
"2022-07-24 00:00:00",122025.37,9
"2022-07-25 00:00:00",96441.89,12
"2022-07-26 00:00:00",107873.58,10
"2022-07-27 00:00:00",104867.12,9
"2022-07-28 00:00:00",73355.37,18
"2022-07-29 00:00:00",111774.8,13
"2022-07-30 00:00:00",128745.03,5
"2022-07-31 00:00:00",200592.74,9
"2022-08-01 00:00:00",75108.43,29
"2022-08-02 00:00:00",25539.96,10
"2022-08-03 00:00:00",125874.61,22
"2022-08-04 00:00:00",155978.52,14
"2022-08-05 00:00:00",80106.6,15
"2022-08-06 00:00:00",166872.43,18
"2022-08-07 00:00:00",111432.71,18
"2022-08-08 00:00:00",149960.1,8
"2022-08-09 00:00:00",46895.46,17
"2022-08-10 00:00:00",148641.53,26
"2022-08-11 00:00:00",205064.98,12
"2022-08-12 00:00:00",175173.85,18
"2022-08-13 00:00:00",284908.58,7
"2022-08-14 00:00:00",114471.85,14
"2022-08-15 00:00:00",149760.59,13
"2022-08-16 00:00:00",138037.04,6
"2022-08-17 00:00:00",149386.03,11
"2022-08-18 00:00:00",389065,11
"2022-08-19 00:00:00",54998.34,12
"2022-08-20 00:00:00",73189.4,11
