"DateTime","Average USD","Active market wallets"
"2021-12-15 00:00:00",54976.37,184
"2021-12-16 00:00:00",87022.75,153
"2021-12-17 00:00:00",50049,205
"2021-12-18 00:00:00",57897.11,153
"2021-12-19 00:00:00",76085.12,133
"2021-12-20 00:00:00",50175.64,160
"2021-12-21 00:00:00",49903.8,245
"2021-12-22 00:00:00",55579.96,325
"2021-12-23 00:00:00",50804.3,533
"2021-12-24 00:00:00",54828.75,492
"2021-12-25 00:00:00",49050.02,454
"2021-12-26 00:00:00",52334.67,934
"2021-12-27 00:00:00",49263.68,1002
"2021-12-28 00:00:00",71772.92,429
"2021-12-29 00:00:00",66179.48,445
"2021-12-30 00:00:00",70807.92,375
"2021-12-31 00:00:00",74828.89,395
"2022-01-01 00:00:00",84556.64,898
"2022-01-02 00:00:00",62911.94,1250
"2022-01-03 00:00:00",72252.51,898
"2022-01-04 00:00:00",77749.51,416
"2022-01-05 00:00:00",79668.07,375
"2022-01-06 00:00:00",76785.54,317
"2022-01-07 00:00:00",76752.61,265
"2022-01-08 00:00:00",74941.08,251
"2022-01-09 00:00:00",106546.45,372
"2022-01-10 00:00:00",79378.07,329
"2022-01-11 00:00:00",70937.68,239
"2022-01-12 00:00:00",93998.78,211
"2022-01-13 00:00:00",93266.1,190
"2022-01-14 00:00:00",91670.47,204
"2022-01-15 00:00:00",96181.16,315
"2022-01-16 00:00:00",112712.96,210
"2022-01-17 00:00:00",63964.67,256
"2022-01-18 00:00:00",92695.23,206
"2022-01-19 00:00:00",70372.86,198
"2022-01-20 00:00:00",111204.57,220
"2022-01-21 00:00:00",87527.3,268
"2022-01-22 00:00:00",84024.78,217
"2022-01-23 00:00:00",59827.49,236
"2022-01-24 00:00:00",79605.24,222
"2022-01-25 00:00:00",64773.35,520
"2022-01-26 00:00:00",64366.06,521
"2022-01-27 00:00:00",82759.61,297
"2022-01-28 00:00:00",84126.67,350
"2022-01-29 00:00:00",83520.44,495
"2022-01-30 00:00:00",90116.03,718
"2022-01-31 00:00:00",108807.37,638
"2022-02-01 00:00:00",103213.74,310
"2022-02-02 00:00:00",74978.92,225
"2022-02-03 00:00:00",76182.09,263
"2022-02-04 00:00:00",104834.91,188
"2022-02-05 00:00:00",113923.76,135
"2022-02-06 00:00:00",85320.44,158
"2022-02-07 00:00:00",89833.76,196
"2022-02-08 00:00:00",81680.83,182
"2022-02-09 00:00:00",100004.93,162
"2022-02-10 00:00:00",81209.92,138
"2022-02-11 00:00:00",93087.12,129
"2022-02-12 00:00:00",95267.56,148
"2022-02-13 00:00:00",101238.86,155
"2022-02-14 00:00:00",88577.65,100
"2022-02-15 00:00:00",101857.63,146
"2022-02-16 00:00:00",85647.09,132
"2022-02-17 00:00:00",85317.51,125
"2022-02-18 00:00:00",99018.96,110
"2022-02-19 00:00:00",56813.79,92
"2022-02-20 00:00:00",72994.09,84
"2022-02-21 00:00:00",71391.09,94
"2022-02-22 00:00:00",62002.73,121
"2022-02-23 00:00:00",75798.51,128
"2022-02-24 00:00:00",58652.04,314
"2022-02-25 00:00:00",106269.73,211
"2022-02-26 00:00:00",94194.62,106
"2022-02-27 00:00:00",80059.27,98
"2022-02-28 00:00:00",84149.33,84
"2022-03-01 00:00:00",73723.32,96
"2022-03-02 00:00:00",94903.25,112
"2022-03-03 00:00:00",58616.27,94
"2022-03-04 00:00:00",64517.92,114
"2022-03-05 00:00:00",50210,118
"2022-03-06 00:00:00",46303.71,89
"2022-03-07 00:00:00",71938.11,191
"2022-03-08 00:00:00",83636.43,168
"2022-03-09 00:00:00",70856.67,111
"2022-03-10 00:00:00",34365.63,171
"2022-03-11 00:00:00",55696.58,156
"2022-03-12 00:00:00",92176.14,237
"2022-03-13 00:00:00",73626.46,285
"2022-03-14 00:00:00",71736.91,149
"2022-03-15 00:00:00",62611.13,240
"2022-03-16 00:00:00",71036.49,712
"2022-03-17 00:00:00",79551.41,1254
"2022-03-18 00:00:00",68946.47,735
"2022-03-19 00:00:00",88869.58,557
"2022-03-20 00:00:00",82389.15,302
"2022-03-21 00:00:00",75425.46,222
"2022-03-22 00:00:00",88512.2,219
"2022-03-23 00:00:00",100335.67,286
"2022-03-24 00:00:00",78166.22,352
"2022-03-25 00:00:00",120782.45,205
"2022-03-26 00:00:00",105231.67,177
"2022-03-27 00:00:00",112042.54,198
"2022-03-28 00:00:00",112323.4,187
"2022-03-29 00:00:00",102151.53,185
"2022-03-30 00:00:00",102231.78,177
"2022-03-31 00:00:00",110636.57,191
"2022-04-01 00:00:00",97205.93,178
"2022-04-02 00:00:00",81985.62,167
"2022-04-03 00:00:00",103121.27,125
"2022-04-04 00:00:00",108794.45,172
"2022-04-05 00:00:00",95838.57,242
"2022-04-06 00:00:00",93004.62,167
"2022-04-07 00:00:00",97908.37,132
"2022-04-08 00:00:00",85966.58,143
"2022-04-09 00:00:00",100746.24,81
"2022-04-10 00:00:00",145166.01,99
"2022-04-11 00:00:00",102016.21,146
"2022-04-12 00:00:00",102316.95,122
"2022-04-13 00:00:00",90191.25,167
"2022-04-14 00:00:00",81509.89,132
"2022-04-15 00:00:00",79094.8,109
"2022-04-16 00:00:00",74665.8,123
"2022-04-17 00:00:00",78501.24,130
"2022-04-18 00:00:00",88362.19,348
"2022-04-19 00:00:00",103316.65,528
"2022-04-20 00:00:00",108274.41,389
"2022-04-21 00:00:00",92324.27,267
"2022-04-22 00:00:00",51796.23,541
"2022-04-23 00:00:00",81461.41,400
"2022-04-24 00:00:00",100892.25,471
"2022-04-25 00:00:00",84134.97,472
"2022-04-26 00:00:00",83393.69,370
"2022-04-27 00:00:00",101517.21,267
"2022-04-28 00:00:00",111201.81,283
"2022-04-29 00:00:00",131619.96,408
"2022-04-30 00:00:00",131940.67,480
"2022-05-01 00:00:00",115761.37,896
"2022-05-02 00:00:00",82240.42,531
"2022-05-03 00:00:00",85911,395
"2022-05-04 00:00:00",104696.85,594
"2022-05-05 00:00:00",84952.12,209
"2022-05-06 00:00:00",71514.31,217
"2022-05-07 00:00:00",73388.16,235
"2022-05-08 00:00:00",64640.33,188
"2022-05-09 00:00:00",59112.48,416
"2022-05-10 00:00:00",66922.42,441
"2022-05-11 00:00:00",73967.56,270
"2022-05-12 00:00:00",49641.62,339
"2022-05-13 00:00:00",59326.01,313
"2022-05-14 00:00:00",60556.01,146
"2022-05-15 00:00:00",55756.72,121
"2022-05-16 00:00:00",61780.53,140
"2022-05-17 00:00:00",56481.34,120
"2022-05-18 00:00:00",71209.8,131
"2022-05-19 00:00:00",78053.27,155
"2022-05-20 00:00:00",65285.42,116
"2022-05-21 00:00:00",61984.03,124
"2022-05-22 00:00:00",38639.23,112
"2022-05-23 00:00:00",34069.97,122
"2022-05-24 00:00:00",44463.44,102
"2022-05-25 00:00:00",54696.47,109
"2022-05-26 00:00:00",70147.36,154
"2022-05-27 00:00:00",42308.97,176
"2022-05-28 00:00:00",44207.67,96
"2022-05-29 00:00:00",50873.78,131
"2022-05-30 00:00:00",54237.58,125
"2022-05-31 00:00:00",85212.14,162
"2022-06-01 00:00:00",60753.09,222
"2022-06-02 00:00:00",50286.4,111
"2022-06-03 00:00:00",59501.54,107
"2022-06-04 00:00:00",51341.39,98
"2022-06-05 00:00:00",54463.91,81
"2022-06-06 00:00:00",94143.97,97
"2022-06-07 00:00:00",80359.79,115
"2022-06-08 00:00:00",40885.75,149
"2022-06-09 00:00:00",57856.25,102
"2022-06-10 00:00:00",69283.3,97
"2022-06-11 00:00:00",48163.98,122
"2022-06-12 00:00:00",40526.81,154
"2022-06-13 00:00:00",31573.46,455
"2022-06-14 00:00:00",34028.41,340
"2022-06-15 00:00:00",35627.67,237
"2022-06-16 00:00:00",43243.71,161
"2022-06-17 00:00:00",35674.85,148
"2022-06-18 00:00:00",32530.4,187
"2022-06-19 00:00:00",37507.71,163
"2022-06-20 00:00:00",38003.58,163
"2022-06-21 00:00:00",40960.36,144
"2022-06-22 00:00:00",43724.61,106
"2022-06-23 00:00:00",30172.18,101
"2022-06-24 00:00:00",33397.44,136
"2022-06-25 00:00:00",42266.26,97
"2022-06-26 00:00:00",45525.95,136
"2022-06-27 00:00:00",50458.53,142
"2022-06-28 00:00:00",49303.97,131
"2022-06-29 00:00:00",33991.78,122
"2022-06-30 00:00:00",41202.1,112
"2022-07-01 00:00:00",40687.7,139
"2022-07-02 00:00:00",32083.29,98
"2022-07-03 00:00:00",36329.45,96
"2022-07-04 00:00:00",38867.27,91
"2022-07-05 00:00:00",32204.78,116
"2022-07-06 00:00:00",42853.15,120
"2022-07-07 00:00:00",44048.02,177
"2022-07-08 00:00:00",44588.34,149
"2022-07-09 00:00:00",23667.18,284
"2022-07-10 00:00:00",38643.62,182
"2022-07-11 00:00:00",30882.71,144
"2022-07-12 00:00:00",31636.98,133
"2022-07-13 00:00:00",40297.38,120
"2022-07-14 00:00:00",36672.88,104
"2022-07-15 00:00:00",49174.38,75
"2022-07-16 00:00:00",41032.6,108
"2022-07-17 00:00:00",43734.48,95
"2022-07-18 00:00:00",46768.56,103
"2022-07-19 00:00:00",47337.39,105
"2022-07-20 00:00:00",52536.88,73
"2022-07-21 00:00:00",49021.39,114
"2022-07-22 00:00:00",51607.7,89
"2022-07-23 00:00:00",41078.89,81
"2022-07-24 00:00:00",40400.17,81
"2022-07-25 00:00:00",46789.27,95
"2022-07-26 00:00:00",39055.73,110
"2022-07-27 00:00:00",30563.74,111
"2022-07-28 00:00:00",43013.47,138
"2022-07-29 00:00:00",46307.11,111
"2022-07-30 00:00:00",54261.67,73
"2022-07-31 00:00:00",27392.31,82
"2022-08-01 00:00:00",44008.89,91
"2022-08-02 00:00:00",39525.93,83
"2022-08-03 00:00:00",37621,94
"2022-08-04 00:00:00",35752.67,122
"2022-08-05 00:00:00",49553.22,108
"2022-08-06 00:00:00",36744.67,95
"2022-08-07 00:00:00",31200.15,176
"2022-08-08 00:00:00",30586.36,87
"2022-08-09 00:00:00",42319.74,104
"2022-08-10 00:00:00",42738.5,115
"2022-08-11 00:00:00",49513.87,103
"2022-08-12 00:00:00",41962.09,88
"2022-08-13 00:00:00",38844.66,105
"2022-08-14 00:00:00",41109.24,112
"2022-08-15 00:00:00",40373.22,129
"2022-08-16 00:00:00",42589.39,130
"2022-08-17 00:00:00",53958.61,114
"2022-08-18 00:00:00",51144.43,93
"2022-08-19 00:00:00",30610.86,154
"2022-08-20 00:00:00",32253.85,157
"2022-08-21 00:00:00",29333.01,209
"2022-08-22 00:00:00",36690.93,167
"2022-08-23 00:00:00",37152.33,121
"2022-08-24 00:00:00",35946.01,135
"2022-08-25 00:00:00",47227.65,180
"2022-08-26 00:00:00",36284.19,137
"2022-08-27 00:00:00",44666.33,105
"2022-08-28 00:00:00",32068.59,103
"2022-08-29 00:00:00",32679.77,76
"2022-08-30 00:00:00",38993.43,97
"2022-08-31 00:00:00",49353.25,89
"2022-09-01 00:00:00",23503.67,63
"2022-09-02 00:00:00",34174.79,80
"2022-09-03 00:00:00",30204.53,66
"2022-09-04 00:00:00",24414.62,33
"2022-09-05 00:00:00",38093.5,65
"2022-09-06 00:00:00",24519.15,78
"2022-09-07 00:00:00",27175.82,69
"2022-09-08 00:00:00",41155.03,85
"2022-09-09 00:00:00",36877.41,87
"2022-09-10 00:00:00",27432.42,100
"2022-09-11 00:00:00",37506.82,117
"2022-09-12 00:00:00",31357.36,83
"2022-09-13 00:00:00",30456.36,101
"2022-09-14 00:00:00",31269.69,77
"2022-09-15 00:00:00",27324.84,106
"2022-09-16 00:00:00",24859.54,84
"2022-09-17 00:00:00",32635.26,109
"2022-09-18 00:00:00",32804.7,103
"2022-09-19 00:00:00",27181.28,106
"2022-09-20 00:00:00",29710.71,175
"2022-09-21 00:00:00",20932.73,121
"2022-09-22 00:00:00",26898.04,108
"2022-09-23 00:00:00",37152.75,106
"2022-09-24 00:00:00",39028.79,107
"2022-09-25 00:00:00",32060.02,129
"2022-09-26 00:00:00",36290.3,111
"2022-09-27 00:00:00",35104.46,83
"2022-09-28 00:00:00",25037.28,106
"2022-09-29 00:00:00",19662.8,97
"2022-09-30 00:00:00",25574.88,87
"2022-10-01 00:00:00",30386.77,85
"2022-10-02 00:00:00",23492.1,96
"2022-10-03 00:00:00",24313.94,76
"2022-10-04 00:00:00",24942.41,83
"2022-10-05 00:00:00",28409.43,82
"2022-10-06 00:00:00",36388.08,91
"2022-10-07 00:00:00",22416.79,69
"2022-10-08 00:00:00",30333.24,68
"2022-10-09 00:00:00",23579.4,79
"2022-10-10 00:00:00",29817.3,70
"2022-10-11 00:00:00",29544.69,144
"2022-10-12 00:00:00",25368.1,137
"2022-10-13 00:00:00",25917.99,142
"2022-10-14 00:00:00",25926.01,99
"2022-10-15 00:00:00",25641.75,74
"2022-10-16 00:00:00",30599.46,88
"2022-10-17 00:00:00",19122.25,73
"2022-10-18 00:00:00",24303.11,83
"2022-10-19 00:00:00",28728.58,85
"2022-10-20 00:00:00",27513.19,93
"2022-10-21 00:00:00",32539.4,91
"2022-10-22 00:00:00",22406.03,79
"2022-10-23 00:00:00",26052.05,85
"2022-10-24 00:00:00",24162.59,59
"2022-10-25 00:00:00",30278.93,120
"2022-10-26 00:00:00",29982.29,134
"2022-10-27 00:00:00",27774.17,86
"2022-10-28 00:00:00",25563.47,88
"2022-10-29 00:00:00",33206.94,68
"2022-10-30 00:00:00",27508.58,80
"2022-10-31 00:00:00",37137.94,120
"2022-11-01 00:00:00",33692.72,104
"2022-11-02 00:00:00",40982.24,99
"2022-11-03 00:00:00",21555.03,89
"2022-11-04 00:00:00",34403.39,102
"2022-11-05 00:00:00",24582.48,87
"2022-11-06 00:00:00",27065.5,97
"2022-11-07 00:00:00",61658.76,70
"2022-11-08 00:00:00",39943.43,112
"2022-11-09 00:00:00",26823.92,203
"2022-11-10 00:00:00",30064.36,198
"2022-11-11 00:00:00",30993.34,190
"2022-11-12 00:00:00",36108.3,127
"2022-11-13 00:00:00",23267.57,123
"2022-11-14 00:00:00",26845.68,216
"2022-11-15 00:00:00",31775.53,328
"2022-11-16 00:00:00",19706.82,269
"2022-11-17 00:00:00",34652.17,103
"2022-11-18 00:00:00",18681.17,122
"2022-11-19 00:00:00",22085.76,81
"2022-11-20 00:00:00",16047.41,85
"2022-11-21 00:00:00",28380.19,129
"2022-11-22 00:00:00",26448.92,144
"2022-11-23 00:00:00",41118.45,130
"2022-11-24 00:00:00",18733.5,286
"2022-11-25 00:00:00",19580.11,240
"2022-11-26 00:00:00",23040.24,425
"2022-11-27 00:00:00",23957.94,321
"2022-11-28 00:00:00",26524.43,163
"2022-11-29 00:00:00",20148.43,143
"2022-11-30 00:00:00",27041.46,145
"2022-12-01 00:00:00",24069.29,95
"2022-12-02 00:00:00",23576.46,93
"2022-12-03 00:00:00",22425.97,107
"2022-12-04 00:00:00",23781.77,160
"2022-12-05 00:00:00",23788.8,170
"2022-12-06 00:00:00",24737.35,234
"2022-12-07 00:00:00",22885.93,135
"2022-12-08 00:00:00",33227.27,145
"2022-12-09 00:00:00",24792.54,168
"2022-12-10 00:00:00",23790.05,294
"2022-12-11 00:00:00",20867.69,287
"2022-12-12 00:00:00",18829.48,275
"2022-12-13 00:00:00",27846.02,225
"2022-12-14 20:07:13",25892.99,158
