"DateTime","Number of sales","Sales USD"
"2021-12-15 00:00:00",115,6322282.26
"2021-12-16 00:00:00",87,7570979.65
"2021-12-17 00:00:00",117,5855733.37
"2021-12-18 00:00:00",81,4689666.03
"2021-12-19 00:00:00",75,5706384.06
"2021-12-20 00:00:00",92,4616158.89
"2021-12-21 00:00:00",140,6986531.5
"2021-12-22 00:00:00",186,10337871.78
"2021-12-23 00:00:00",312,15850940.92
"2021-12-24 00:00:00",284,15571364.46
"2021-12-25 00:00:00",271,13292555.68
"2021-12-26 00:00:00",590,30877454.13
"2021-12-27 00:00:00",692,34090467.96
"2021-12-28 00:00:00",260,18660960.08
"2021-12-29 00:00:00",272,18000818.53
"2021-12-30 00:00:00",239,16923091.89
"2021-12-31 00:00:00",254,19006537.98
"2022-01-01 00:00:00",622,52594227.36
"2022-01-02 00:00:00",931,58571016.39
"2022-01-03 00:00:00",639,46169351.2
"2022-01-04 00:00:00",263,20448121.03
"2022-01-05 00:00:00",249,19837350.41
"2022-01-06 00:00:00",210,16124964.16
"2022-01-07 00:00:00",167,12817686.52
"2022-01-08 00:00:00",156,11690807.71
"2022-01-09 00:00:00",236,25144962.21
"2022-01-10 00:00:00",217,17225041.68
"2022-01-11 00:00:00",150,10640652
"2022-01-12 00:00:00",130,12219841.18
"2022-01-13 00:00:00",114,10632335.06
"2022-01-14 00:00:00",126,11550478.99
"2022-01-15 00:00:00",191,18370602.07
"2022-01-16 00:00:00",132,14878111.16
"2022-01-17 00:00:00",167,10682100.71
"2022-01-18 00:00:00",117,10845341.39
"2022-01-19 00:00:00",126,8866980.04
"2022-01-20 00:00:00",132,14679002.84
"2022-01-21 00:00:00",157,13741785.63
"2022-01-22 00:00:00",135,11343345.36
"2022-01-23 00:00:00",154,9213434.13
"2022-01-24 00:00:00",139,11065127.76
"2022-01-25 00:00:00",330,21375205.51
"2022-01-26 00:00:00",337,21691360.55
"2022-01-27 00:00:00",186,15393286.92
"2022-01-28 00:00:00",223,18760247.57
"2022-01-29 00:00:00",320,26726540.47
"2022-01-30 00:00:00",495,44607436.93
"2022-01-31 00:00:00",408,44393405.66
"2022-02-01 00:00:00",190,19610609.69
"2022-02-02 00:00:00",172,12896373.8
"2022-02-03 00:00:00",165,12570044.35
"2022-02-04 00:00:00",111,11636674.57
"2022-02-05 00:00:00",90,10253138.53
"2022-02-06 00:00:00",93,7934800.63
"2022-02-07 00:00:00",123,11049552.81
"2022-02-08 00:00:00",114,9311614.07
"2022-02-09 00:00:00",97,9700478.15
"2022-02-10 00:00:00",95,7714942.85
"2022-02-11 00:00:00",77,7167708.62
"2022-02-12 00:00:00",97,9240953.02
"2022-02-13 00:00:00",126,12756095.76
"2022-02-14 00:00:00",81,7174789.36
"2022-02-15 00:00:00",111,11306197.18
"2022-02-16 00:00:00",105,8992944.33
"2022-02-17 00:00:00",84,7166671.07
"2022-02-18 00:00:00",74,7327403.33
"2022-02-19 00:00:00",73,4147406.64
"2022-02-20 00:00:00",74,5401562.94
"2022-02-21 00:00:00",74,5282940.44
"2022-02-22 00:00:00",87,5394237.56
"2022-02-23 00:00:00",95,7200858.1
"2022-02-24 00:00:00",198,11613103.94
"2022-02-25 00:00:00",130,13815064.7
"2022-02-26 00:00:00",81,7629764.5
"2022-02-27 00:00:00",61,4883615.41
"2022-02-28 00:00:00",52,4375764.91
"2022-03-01 00:00:00",59,4349675.64
"2022-03-02 00:00:00",71,6738130.4
"2022-03-03 00:00:00",61,3575592.26
"2022-03-04 00:00:00",85,5484022.96
"2022-03-05 00:00:00",82,4117219.63
"2022-03-06 00:00:00",61,2824526.12
"2022-03-07 00:00:00",124,8920325.9
"2022-03-08 00:00:00",100,8363643.05
"2022-03-09 00:00:00",62,4393113.27
"2022-03-10 00:00:00",118,4055143.96
"2022-03-11 00:00:00",96,5346871.78
"2022-03-12 00:00:00",146,13457716.19
"2022-03-13 00:00:00",191,14062654.51
"2022-03-14 00:00:00",90,6456322.28
"2022-03-15 00:00:00",144,9016002.86
"2022-03-16 00:00:00",481,34168551.47
