DateTime,Number of sales,Sales USD,Average USD,Active market wallets,Unique buyers
2020-11-27,1577.0,50793.59,32.21,111.0,110.0
2020-11-28,923.0,21966.6,23.8,184.0,180.0
2020-11-29,324.0,8285.57,25.57,74.0,72.0
2020-11-30,63.0,2496.48,39.63,22.0,17.0
2020-12-01,80.0,2090.09,26.13,20.0,17.0
2020-12-02,251.0,5707.13,22.74,33.0,27.0
2020-12-03,220.0,4885.18,22.21,27.0,22.0
2020-12-04,358.0,8525.22,23.81,36.0,31.0
2020-12-05,312.0,6297.88,20.19,26.0,24.0
2020-12-06,157.0,2998.9,19.1,20.0,19.0
2020-12-07,131.0,2745.26,20.96,23.0,21.0
2020-12-08,53.0,971.82,18.34,15.0,13.0
2020-12-09,120.0,2647.83,22.07,25.0,21.0
2020-12-10,233.0,4300.51,18.46,32.0,29.0
2020-12-11,90.0,1711.63,19.02,19.0,16.0
2020-12-12,831.0,22420.2,26.98,97.0,93.0
2020-12-13,149.0,6412.59,43.04,47.0,38.0
2020-12-14,90.0,2093.53,23.26,22.0,16.0
2020-12-15,84.0,2338.8,27.84,28.0,22.0
2020-12-16,32.0,890.33,27.82,16.0,11.0
2020-12-17,12.0,447.5,37.29,9.0,6.0
2020-12-18,93.0,4366.66,46.95,31.0,28.0
2020-12-19,82.0,2616.31,31.91,24.0,16.0
2020-12-20,128.0,4266.51,33.33,19.0,14.0
2020-12-21,208.0,12563.24,60.4,51.0,48.0
2020-12-22,109.0,2466.62,22.63,12.0,8.0
2020-12-23,65.0,1046.3,16.1,63.0,56.0
2020-12-24,139.0,3351.48,24.11,24.0,15.0
2020-12-25,56.0,1142.35,20.4,16.0,10.0
2020-12-26,211.0,4609.8,21.85,25.0,20.0
2020-12-27,465.0,12745.82,27.41,33.0,23.0
2020-12-28,32.0,989.8,30.93,17.0,10.0
2020-12-29,33.0,864.49,26.2,19.0,14.0
2020-12-30,9.0,902.73,100.3,14.0,7.0
2020-12-31,44.0,2819.7,64.08,22.0,16.0
2021-01-01,1127.0,91139.68,80.87,140.0,134.0
2021-01-02,201.0,19090.64,94.98,54.0,39.0
2021-01-03,58.0,30369.26,523.61,37.0,20.0
2021-01-04,9.0,7595.84,843.98,14.0,9.0
2021-01-05,23.0,8386.93,364.65,21.0,12.0
2021-01-06,16.0,1747.08,109.19,18.0,11.0
2021-01-07,5.0,2288.62,457.72,10.0,5.0
2021-01-08,608.0,167176.82,274.96,142.0,133.0
2021-01-09,97.0,33930.32,349.8,58.0,36.0
2021-01-10,147.0,50226.9,341.68,61.0,39.0
2021-01-11,15.0,1003.24,66.88,17.0,12.0
2021-01-12,131.0,16671.48,127.26,63.0,43.0
2021-01-13,343.0,28658.25,83.55,66.0,46.0
2021-01-14,287.0,17327.91,60.38,41.0,29.0
2021-01-15,760.0,34947.93,45.98,48.0,37.0
2021-01-16,1858.0,156621.23,84.3,212.0,195.0
2021-01-17,74.0,32452.31,438.54,64.0,37.0
2021-01-18,120.0,44303.56,369.2,73.0,42.0
2021-01-19,37.0,20733.6,560.37,35.0,18.0
2021-01-20,250.0,13889.29,55.56,36.0,20.0
2021-01-21,459.0,60030.62,130.79,115.0,108.0
2021-01-22,55.0,10543.3,191.7,27.0,15.0
2021-01-23,65.0,4490.69,69.09,28.0,15.0
2021-01-24,28.0,4301.38,153.62,29.0,16.0
2021-01-25,35.0,11123.06,317.8,33.0,17.0
2021-01-26,462.0,83530.92,180.8,124.0,118.0
2021-01-27,40.0,21050.99,526.27,47.0,24.0
2021-01-28,19.0,8844.16,465.48,22.0,13.0
2021-01-29,22.0,8327.13,378.51,27.0,9.0
2021-01-30,10.0,2151.56,215.16,14.0,8.0
2021-01-31,1086.0,182358.55,167.92,212.0,203.0
2021-02-01,79.0,69134.61,875.12,70.0,27.0
2021-02-02,64.0,88238.08,1378.72,56.0,21.0
2021-02-03,27.0,13453.79,498.29,36.0,20.0
2021-02-04,43.0,22318.78,519.04,49.0,23.0
2021-02-05,18.0,8201.21,455.62,29.0,14.0
2021-02-06,7.0,38775.01,5539.29,13.0,7.0
2021-02-07,506.0,194601.27,384.59,140.0,125.0
2021-02-08,240.0,72881.06,303.67,104.0,78.0
2021-02-09,92.0,61867.18,672.47,59.0,31.0
2021-02-10,66.0,49216.54,745.71,62.0,28.0
2021-02-11,79.0,24806.33,314.0,55.0,36.0
2021-02-12,46.0,17386.16,377.96,45.0,28.0
2021-02-13,523.0,167338.56,319.96,183.0,170.0
2021-02-14,178.0,168266.22,945.32,119.0,64.0
2021-02-15,485.0,228249.36,470.62,173.0,125.0
2021-02-16,353.0,184504.1,522.67,171.0,118.0
2021-02-17,360.0,138043.42,383.45,151.0,84.0
2021-02-18,166.0,89294.81,537.92,109.0,70.0
2021-02-19,988.0,408223.14,413.18,307.0,269.0
2021-02-20,450.0,383145.77,851.44,204.0,131.0
2021-02-21,1401.0,599991.55,428.26,353.0,263.0
2021-02-22,417.0,769939.75,1846.38,260.0,176.0
2021-02-23,880.0,645817.48,733.88,300.0,186.0
2021-02-24,670.0,988005.92,1474.64,355.0,221.0
2021-02-25,136.0,220239.07,1619.4,131.0,67.0
2021-02-26,145.0,262801.13,1812.42,125.0,63.0
2021-02-27,790.0,912437.53,1154.98,406.0,364.0
2021-02-28,715.0,839158.13,1173.65,353.0,309.0
2021-03-01,532.0,635208.17,1194.0,382.0,332.0
2021-03-02,1224.0,498506.97,407.28,559.0,520.0
2021-03-03,198.0,363121.86,1833.95,203.0,99.0
2021-03-04,125.0,408071.47,3264.57,157.0,85.0
2021-03-05,893.0,530997.81,594.62,695.0,666.0
2021-03-06,155.0,369557.13,2384.24,215.0,114.0
2021-03-07,68.0,138032.2,2029.89,98.0,48.0
2021-03-08,93.0,163296.18,1755.87,118.0,55.0
2021-03-09,84.0,181958.86,2166.18,83.0,43.0
2021-03-10,66.0,168695.94,2556.0,83.0,38.0
2021-03-11,88.0,223977.58,2545.2,102.0,44.0
2021-03-12,83.0,181713.9,2189.32,98.0,44.0
2021-03-13,41.0,97736.13,2383.81,57.0,28.0
2021-03-14,45.0,237704.25,5282.32,54.0,25.0
2021-03-15,47.0,55487.07,1180.58,67.0,33.0
2021-03-16,51.0,89267.84,1750.35,65.0,31.0
2021-03-17,1656.0,450432.43,272.0,1528.0,1511.0
2021-03-18,322.0,567646.37,1762.88,324.0,130.0
2021-03-19,113.0,172238.97,1524.24,151.0,66.0
2021-03-20,1200.0,393496.31,327.91,1036.0,1015.0
2021-03-21,459.0,338045.71,736.48,360.0,281.0
2021-03-22,541.0,327174.98,604.76,332.0,293.0
2021-03-23,198.0,110573.72,558.45,148.0,107.0
2021-03-24,111.0,114907.2,1035.2,97.0,56.0
2021-03-25,87.0,99002.24,1137.96,77.0,45.0
2021-03-26,88.0,67651.95,768.77,74.0,46.0
2021-03-27,85.0,54108.06,636.57,82.0,48.0
2021-03-28,850.0,232417.97,273.43,478.0,432.0
2021-03-29,511.0,214988.72,420.72,293.0,250.0
2021-03-30,188.0,93467.36,497.17,158.0,109.0
2021-03-31,292.0,154027.72,527.49,228.0,184.0
2021-04-01,196.0,113545.09,579.31,165.0,93.0
2021-04-02,261.0,213602.83,818.4,200.0,128.0
2021-04-03,163.0,197877.74,1213.97,124.0,75.0
2021-04-04,193.0,118739.39,615.23,143.0,74.0
2021-04-05,528.0,190767.22,361.3,442.0,405.0
2021-04-06,305.0,334766.39,1097.59,224.0,179.0
2021-04-07,572.0,269630.51,471.38,208.5,284.0
2021-04-08,255.0,198056.95,776.69,193.0,128.0
2021-04-09,232.0,320189.82,1380.13,192.0,117.0
2021-04-10,791.0,553938.38,700.3,621.0,563.0
