DateTime,Number of sales,Sales USD,Average USD,Active market wallets,Unique buyers
2017-06-23,19.0,1020.3,53.7,8.0,8.0
2017-06-24,21.0,1240.84,59.09,17.0,9.0
2017-06-25,13.0,517.55,39.81,10.0,7.0
2017-06-26,14.0,424.63,30.33,14.0,6.0
2017-06-27,33.0,2092.91,63.42,22.0,8.0
2017-06-28,15.0,1247.26,83.15,11.0,7.0
2017-06-29,38.0,2185.72,57.52,20.0,13.0
2017-06-30,21.0,1708.15,81.34,13.0,10.0
2017-07-01,10.0,3140.8,314.08,13.0,5.0
2017-07-02,31.0,2924.61,94.34,21.0,12.0
2017-07-03,51.0,7249.8,142.15,24.0,11.0
2017-07-04,58.0,13505.93,232.86,28.0,14.0
2017-07-05,18.0,1840.28,102.24,12.0,7.0
2017-07-06,23.0,7022.18,305.31,15.0,9.0
2017-07-07,37.0,7082.51,191.42,19.0,6.0
2017-07-08,30.0,3227.88,107.6,18.0,9.0
2017-07-09,12.0,969.1,80.76,16.0,8.0
2017-07-10,17.0,4910.06,288.83,22.0,11.0
2017-07-11,43.0,5709.37,132.78,20.0,9.0
2017-07-12,17.0,1778.73,104.63,17.0,7.0
2017-07-13,31.0,5300.97,171.0,24.0,12.0
2017-07-14,7.0,448.4,64.06,6.0,4.0
2017-07-15,5.0,549.69,109.94,7.0,4.0
2017-07-16,3.0,319.2,106.4,4.0,2.0
2017-07-17,5.0,1452.2,290.44,7.0,4.0
2017-07-18,30.0,2921.67,97.39,17.0,10.0
2017-07-19,31.0,3436.75,110.86,12.0,8.0
2017-07-20,21.0,2352.71,112.03,10.0,5.0
2017-07-21,21.0,2135.0,101.67,12.0,4.0
2017-07-22,13.0,1044.77,80.37,13.0,7.0
2017-07-23,6.0,421.7,70.28,9.0,6.0
2017-07-24,15.0,1126.82,75.12,18.0,9.0
2017-07-25,8.0,1769.47,221.18,12.0,5.0
2017-07-26,5.0,314.52,62.9,7.0,4.0
2017-07-27,2.0,111.75,55.88,4.0,2.0
2017-07-28,5.0,374.0,74.8,8.0,4.0
2017-07-29,8.0,1006.8,125.85,7.0,4.0
2017-07-30,16.0,1478.99,92.44,10.0,7.0
2017-07-31,2.0,213.45,106.73,4.0,2.0
2017-08-01,2.0,109.0,54.5,4.0,2.0
2017-08-02,1.0,525.74,525.74,2.0,1.0
2017-08-03,21.0,4599.9,219.04,16.0,9.0
2017-08-05,2.0,1518.93,759.47,2.0,1.0
2017-08-07,1.0,76.52,76.52,2.0,1.0
2017-08-08,5.0,997.6,199.52,8.0,4.0
2017-08-09,3.0,267.36,89.12,4.0,3.0
2017-08-10,2.0,181.03,90.52,4.0,2.0
2017-08-11,8.0,659.37,82.42,10.0,5.0
2017-08-12,17.0,1038.52,61.09,9.0,6.0
2017-08-13,7.0,805.29,115.04,8.0,4.0
2017-08-14,3.0,503.88,167.96,6.0,3.0
2017-08-15,4.0,260.89,65.22,5.0,2.0
